epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.416,1.66225,4.31356,1.30672,0.5068,0.38148,0.39245,0.33291,1.54148,4.25785,1.15292,0.00017271,0.00017271,0.00017271
2,214.643,1.44561,2.80375,1.14047,0.83577,0.71368,0.76816,0.64039,1.33614,3.65522,1.14213,0.000347491,0.000347491,0.000347491
3,318.705,1.29902,2.04419,1.03846,0.51811,0.76971,0.71272,0.56515,1.23062,3.45602,1.08592,0.000515072,0.000515072,0.000515072
4,415.719,1.23359,1.73374,1.036,0.35264,0.84589,0.65958,0.50958,1.17435,2.6456,1.07954,0.000675454,0.000675454,0.000675454
5,511.289,1.15121,1.51871,1.02495,0.6123,0.77889,0.73622,0.60301,1.18616,2.29431,1.07316,0.000828637,0.000828637,0.000828637
6,614.75,1.15347,1.40398,1.01654,0.70478,0.78684,0.80263,0.64474,1.10781,1.98537,1.05354,0.000819009,0.000819009,0.000819009
7,713.707,1.06834,1.31574,0.99156,0.88457,0.7101,0.85122,0.73799,1.03817,1.69168,1.01469,0.000801011,0.000801011,0.000801011
8,816.607,1.08138,1.2397,0.9828,0.85685,0.80105,0.84533,0.73625,0.99083,1.50343,1.00802,0.000783013,0.000783013,0.000783013
9,915.555,1.00805,1.1564,0.96651,0.8767,0.76917,0.88288,0.77083,0.97748,1.30094,0.99736,0.000765014,0.000765014,0.000765014
10,1021.89,0.97877,1.0837,0.95346,0.8236,0.88527,0.83864,0.72858,0.93526,1.10955,0.99467,0.000747016,0.000747016,0.000747016
11,1125.22,0.95785,1.11341,0.95831,0.832,0.85806,0.83313,0.72368,0.90425,1.07906,0.98424,0.000729018,0.000729018,0.000729018
12,1220.57,0.94026,1.05173,0.94002,0.80088,0.85174,0.84605,0.74063,0.896,1.07317,0.97691,0.00071102,0.00071102,0.00071102
13,1315.38,0.93784,0.99632,0.94339,0.82112,0.83746,0.82463,0.71745,0.91749,1.07879,0.97676,0.000693022,0.000693022,0.000693022
14,1417.8,0.92373,0.95999,0.93752,0.81949,0.84261,0.83516,0.7286,0.90834,1.09576,0.96803,0.000675023,0.000675023,0.000675023
15,1516.69,0.90493,0.93638,0.93526,0.82246,0.86812,0.85254,0.74873,0.87481,1.02649,0.96898,0.000657025,0.000657025,0.000657025
16,1618.63,0.89339,0.94709,0.93754,0.81059,0.85744,0.84154,0.74463,0.87927,1.04992,0.96883,0.000639027,0.000639027,0.000639027
17,1718.4,0.88389,0.90926,0.93894,0.82337,0.88536,0.85952,0.7646,0.86156,0.91957,0.95296,0.000621029,0.000621029,0.000621029
18,1813.95,0.87709,0.8726,0.91747,0.81834,0.89346,0.85754,0.76468,0.82677,0.87246,0.94894,0.000603031,0.000603031,0.000603031
19,1911.25,0.86906,0.91247,0.92303,0.82618,0.90532,0.85225,0.75703,0.8245,0.86888,0.94178,0.000585032,0.000585032,0.000585032
